,Time [s],Packet ID,Address,Data,ACK/NAK,Reg,R/W,IC
0,0.004287312,0.0,0x6A,0x39,ACK,0x14,Read,BQ25895
2,0.012930832,2.0,0x6A,0x48,ACK,0x00,Read,BQ25895
4,0.021556264,4.0,0x6A,0x05,ACK,0x01,Read,BQ25895
6,0.030184312,6.0,0x6A,0x3D,ACK,0x02,Read,BQ25895
8,0.038815103999999996,8.0,0x6A,0x3A,ACK,0x03,Read,BQ25895
10,0.047443112,10.0,0x6A,0x20,ACK,0x04,Read,BQ25895
12,0.056073767999999996,12.0,0x6A,0x13,ACK,0x05,Read,BQ25895
14,0.064707024,14.0,0x6A,0x5E,ACK,0x06,Read,BQ25895
16,0.073337704,16.0,0x6A,0x9D,ACK,0x07,Read,BQ25895
18,0.081965552,18.0,0x6A,0x03,ACK,0x08,Read,BQ25895
20,0.09059604,20.0,0x6A,0x44,ACK,0x09,Read,BQ25895
22,0.099229056,22.0,0x6A,0x93,ACK,0x0A,Read,BQ25895
24,0.1078648,24.0,0x6A,0x02,ACK,0x0B,Read,BQ25895
26,0.116497824,26.0,0x6A,0x80,ACK,0x0C,Read,BQ25895
28,0.12512837599999999,28.0,0x6A,0x13,ACK,0x0D,Read,BQ25895
30,0.133761488,30.0,0x6A,0x00,ACK,0x0E,Read,BQ25895
32,0.142391984,32.0,0x6A,0x00,ACK,0x0F,Read,BQ25895
34,0.151019848,34.0,0x6A,0x00,ACK,0x10,Read,BQ25895
36,0.159650336,36.0,0x6A,0x00,ACK,0x11,Read,BQ25895
38,0.16828338399999998,38.0,0x6A,0x00,ACK,0x12,Read,BQ25895
40,0.17691923199999998,40.0,0x6A,0x08,ACK,0x13,Read,BQ25895
42,0.185552496,42.0,0x6A,0x39,ACK,0x14,Read,BQ25895
44,0.19419353600000003,44.0,0x6A,0x48,ACK,0x00,Read,BQ25895
46,0.202821616,46.0,0x6A,0x05,ACK,0x01,Read,BQ25895
48,0.211449456,48.0,0x6A,0x3D,ACK,0x02,Read,BQ25895
50,0.220082312,50.0,0x6A,0x3A,ACK,0x03,Read,BQ25895
52,0.22871023199999999,52.0,0x6A,0x20,ACK,0x04,Read,BQ25895
54,0.239587104,54.0,0x6A,0x13,ACK,0x05,Read,BQ25895
56,0.248220472,56.0,0x6A,0x5E,ACK,0x06,Read,BQ25895
58,0.2568538,58.0,0x6A,0x9D,ACK,0x07,Read,BQ25895
60,0.265481896,60.0,0x6A,0x03,ACK,0x08,Read,BQ25895
62,0.27411513600000004,62.0,0x6A,0x44,ACK,0x09,Read,BQ25895
64,0.282748144,64.0,0x6A,0x93,ACK,0x0A,Read,BQ25895
66,0.29138673600000004,66.0,0x6A,0x02,ACK,0x0B,Read,BQ25895
68,0.300020352,68.0,0x6A,0x80,ACK,0x0C,Read,BQ25895
70,0.308653656,70.0,0x6A,0x13,ACK,0x0D,Read,BQ25895
72,0.317286736,72.0,0x6A,0x00,ACK,0x0E,Read,BQ25895
74,0.32591983199999996,74.0,0x6A,0x00,ACK,0x0F,Read,BQ25895
76,0.3345478,76.0,0x6A,0x00,ACK,0x10,Read,BQ25895
78,0.343180816,78.0,0x6A,0x00,ACK,0x11,Read,BQ25895
80,0.35181408,80.0,0x6A,0x00,ACK,0x12,Read,BQ25895
82,0.36045236,82.0,0x6A,0x08,ACK,0x13,Read,BQ25895
84,0.369085272,84.0,0x6A,0x39,ACK,0x14,Read,BQ25895
86,0.377728768,86.0,0x6A,0x48,ACK,0x00,Read,BQ25895
88,0.38635695200000003,88.0,0x6A,0x05,ACK,0x01,Read,BQ25895
90,0.39498240799999995,90.0,0x6A,0x3D,ACK,0x02,Read,BQ25895
92,0.403615656,92.0,0x6A,0x3A,ACK,0x03,Read,BQ25895
94,0.412241136,94.0,0x6A,0x20,ACK,0x04,Read,BQ25895
96,0.42087444,96.0,0x6A,0x13,ACK,0x05,Read,BQ25895
98,0.429505232,98.0,0x6A,0x5E,ACK,0x06,Read,BQ25895
100,0.43813852,100.0,0x6A,0x9D,ACK,0x07,Read,BQ25895
102,0.446763952,102.0,0x6A,0x03,ACK,0x08,Read,BQ25895
104,0.455397344,104.0,0x6A,0x44,ACK,0x09,Read,BQ25895
106,0.464027984,106.0,0x6A,0x93,ACK,0x0A,Read,BQ25895
108,0.4726668,108.0,0x6A,0x02,ACK,0x0B,Read,BQ25895
110,0.481297408,110.0,0x6A,0x80,ACK,0x0C,Read,BQ25895
112,0.49218205600000003,112.0,0x6A,0x13,ACK,0x0D,Read,BQ25895
114,0.50081272,114.0,0x6A,0x00,ACK,0x0E,Read,BQ25895
116,0.509446176,116.0,0x6A,0x00,ACK,0x0F,Read,BQ25895
118,0.518071776,118.0,0x6A,0x00,ACK,0x10,Read,BQ25895
120,0.52670508,120.0,0x6A,0x00,ACK,0x11,Read,BQ25895
122,0.535335384,122.0,0x6A,0x00,ACK,0x12,Read,BQ25895
124,0.543973544,124.0,0x6A,0x08,ACK,0x13,Read,BQ25895
126,0.552603944,126.0,0x6A,0x39,ACK,0x14,Read,BQ25895
128,0.56124732,128.0,0x6A,0x48,ACK,0x00,Read,BQ25895
130,0.569875176,130.0,0x6A,0x05,ACK,0x01,Read,BQ25895
132,0.578503016,132.0,0x6A,0x3D,ACK,0x02,Read,BQ25895
134,0.587136136,134.0,0x6A,0x3A,ACK,0x03,Read,BQ25895
136,0.595764088,136.0,0x6A,0x20,ACK,0x04,Read,BQ25895
138,0.6043970479999999,138.0,0x6A,0x13,ACK,0x05,Read,BQ25895
140,0.613030296,140.0,0x6A,0x5E,ACK,0x06,Read,BQ25895
142,0.6216634,142.0,0x6A,0x9D,ACK,0x07,Read,BQ25895
144,0.630291288,144.0,0x6A,0x03,ACK,0x08,Read,BQ25895
146,0.638924344,146.0,0x6A,0x44,ACK,0x09,Read,BQ25895
148,0.647557704,148.0,0x6A,0x93,ACK,0x0A,Read,BQ25895
150,0.656196144,150.0,0x6A,0x02,ACK,0x0B,Read,BQ25895
152,0.66482924,152.0,0x6A,0x80,ACK,0x0C,Read,BQ25895
154,0.6734623759999999,154.0,0x6A,0x13,ACK,0x0D,Read,BQ25895
156,0.6820955679999999,156.0,0x6A,0x00,ACK,0x0E,Read,BQ25895
158,0.690728528,158.0,0x6A,0x00,ACK,0x0F,Read,BQ25895
160,0.699356344,160.0,0x6A,0x00,ACK,0x10,Read,BQ25895
162,0.7079894640000001,162.0,0x6A,0x00,ACK,0x11,Read,BQ25895
164,0.7166220959999999,164.0,0x6A,0x00,ACK,0x12,Read,BQ25895
166,0.725260272,166.0,0x6A,0x08,ACK,0x13,Read,BQ25895
168,0.737014304,168.0,0x6A,0x39,ACK,0x14,Read,BQ25895
170,0.74565784,170.0,0x6A,0x48,ACK,0x00,Read,BQ25895
172,0.754283312,172.0,0x6A,0x05,ACK,0x01,Read,BQ25895
174,0.76291132,174.0,0x6A,0x3D,ACK,0x02,Read,BQ25895
176,0.77154188,176.0,0x6A,0x3A,ACK,0x03,Read,BQ25895
178,0.78016996,178.0,0x6A,0x20,ACK,0x04,Read,BQ25895
180,0.788800376,180.0,0x6A,0x13,ACK,0x05,Read,BQ25895
182,0.79743348,182.0,0x6A,0x5E,ACK,0x06,Read,BQ25895
184,0.806064048,184.0,0x6A,0x9D,ACK,0x07,Read,BQ25895
186,0.81469212,186.0,0x6A,0x03,ACK,0x08,Read,BQ25895
188,0.8233227359999999,188.0,0x6A,0x44,ACK,0x09,Read,BQ25895
190,0.831956136,190.0,0x6A,0x93,ACK,0x0A,Read,BQ25895
192,0.840591992,192.0,0x6A,0x02,ACK,0x0B,Read,BQ25895
194,0.8492253759999999,194.0,0x6A,0x80,ACK,0x0C,Read,BQ25895
